Geneid	ENSEMBL	log2FoldChange	padj	DEG
Snw1	ENSMUSG00000021039.9	0.22	0.587196937320813	NS
Hdgf	ENSMUSG00000004897.16	0.11	0.587305293176018	NS
Ormdl3	ENSMUSG00000038150.7	-0.13	0.587330912226619	NS
Alms1	ENSMUSG00000063810.7	-0.26	0.587414781144093	NS
Dnaja1	ENSMUSG00000028410.13	0.11	0.587525073537962	NS
St14	ENSMUSG00000031995.9	0.07	0.587801784385492	NS
Gm44684	ENSMUSG00000108520.1	-0.07	0.587869971904922	NS
Gml	ENSMUSG00000068349.12	-0.05	0.587913143796814	NS
Ccl3	ENSMUSG00000000982.5	-0.05	0.587962290079909	NS
Actn2	ENSMUSG00000052374.16	0.28	0.587962290079909	NS
Fanca	ENSMUSG00000032815.16	-0.27	0.588024700561008	NS
Olfr1384	ENSMUSG00000044170.5	-0.02	0.588158040979557	NS
Gm15634	ENSMUSG00000086279.1	0.05	0.588159587025219	NS
Nos2	ENSMUSG00000020826.8	-0.28	0.588159587025219	NS
Slc25a32	ENSMUSG00000022299.9	0.22	0.58839611704241	NS
Bdh1	ENSMUSG00000046598.15	0.06	0.588931002937062	NS
Hmgcs2	ENSMUSG00000027875.12	-0.21	0.589131123124575	NS
Dab1	ENSMUSG00000028519.16	-0.11	0.589131123124575	NS
Tuft1	ENSMUSG00000005968.14	-0.25	0.589154372356198	NS
Ndufaf1	ENSMUSG00000027305.9	0.22	0.589299364343919	NS
Enpp3	ENSMUSG00000019989.8	0.12	0.589299364343919	NS
Sertad4	ENSMUSG00000016262.14	-0.03	0.589595587718285	NS
Ddx23	ENSMUSG00000003360.15	-0.22	0.589595587718285	NS
Gm43172	ENSMUSG00000107374.1	0.06	0.589873489976364	NS
4933406P04Rik	ENSMUSG00000069713.2	-0.07	0.590024683466205	NS
Sp100	ENSMUSG00000026222.16	-0.27	0.590362868107055	NS
Gpc2	ENSMUSG00000029510.15	-0.03	0.590362868107055	NS
1810028F09Rik	ENSMUSG00000114985.1	0.04	0.590376069096885	NS
Gm34084	ENSMUSG00000113010.1	0.11	0.590524454465282	NS
Slc25a38	ENSMUSG00000032519.11	0.27	0.590588979694387	NS
Sh2d5	ENSMUSG00000045349.15	-0.06	0.591011719602697	NS
Slco2a1	ENSMUSG00000032548.14	-0.26	0.591011719602697	NS
Csf1r	ENSMUSG00000024621.16	-0.19	0.591011719602697	NS
Gm30692	ENSMUSG00000109141.1	-0.04	0.591229216334511	NS
Lyrm4	ENSMUSG00000046573.7	0.22	0.591229216334511	NS
Fam43a	ENSMUSG00000046546.3	-0.28	0.591229216334511	NS
Gm26732	ENSMUSG00000097344.1	-0.05	0.591229216334511	NS
Cdh20	ENSMUSG00000050840.8	-0.03	0.591559366345952	NS
Slc31a2	ENSMUSG00000066152.11	0.26	0.591559366345952	NS
Atp2b4	ENSMUSG00000026463.17	-0.25	0.591585682126284	NS
Pcnx	ENSMUSG00000021140.9	-0.21	0.591985816295332	NS
Cdx1	ENSMUSG00000024619.8	0.2	0.591985816295332	NS
Vma21	ENSMUSG00000073131.12	0.22	0.592377489793528	NS
Gm6277	ENSMUSG00000097440.2	0.1	0.592466370493061	NS
Gm5452	ENSMUSG00000114687.1	0.3	0.592485013938572	NS
Wrb	ENSMUSG00000023147.17	0.3	0.592485013938572	NS
Zfp941	ENSMUSG00000060314.13	-0.1	0.592674308679972	NS
Gm20033	ENSMUSG00000097640.7	-0.04	0.592904711098816	NS
Alpk3	ENSMUSG00000038763.12	-0.06	0.592904711098816	NS
Nr3c2	ENSMUSG00000031618.13	-0.22	0.592904711098816	NS
Gm10784	ENSMUSG00000094886.2	0.04	0.592987589299254	NS
Pspc1	ENSMUSG00000021938.12	0.22	0.593149911847437	NS
Gbp2b	ENSMUSG00000040264.10	-0.05	0.593413909801728	NS
Nkapl	ENSMUSG00000059395.4	0.04	0.593413909801728	NS
Gm9701	ENSMUSG00000063001.10	-0.04	0.593748606133583	NS
Dock10	ENSMUSG00000038608.15	-0.19	0.593858733480945	NS
Gm38380	ENSMUSG00000102664.1	-0.1	0.593894761953965	NS
Fcrla	ENSMUSG00000038421.13	-0.2	0.593894761953965	NS
Gdap2	ENSMUSG00000027865.10	0.29	0.593894761953965	NS
Ahcyl2	ENSMUSG00000029772.17	-0.06	0.593894761953965	NS
Nudt21	ENSMUSG00000031754.10	0.22	0.593894761953965	NS
Zfp672	ENSMUSG00000049755.14	0.25	0.593894761953965	NS
Carhsp1	ENSMUSG00000008393.9	0.11	0.593894761953965	NS
Rnf165	ENSMUSG00000025427.15	-0.05	0.593894761953965	NS
Nono	ENSMUSG00000031311.17	0.11	0.593894761953965	NS
Ppargc1a	ENSMUSG00000029167.13	-0.26	0.593934394586972	NS
Nrep	ENSMUSG00000042834.15	-0.28	0.593934394586972	NS
Lias	ENSMUSG00000029199.11	0.22	0.594328344759536	NS
Gm25617	ENSMUSG00000105863.1	-0.03	0.594372175840144	NS
Scin	ENSMUSG00000002565.16	-0.06	0.594515263690288	NS
Eps8	ENSMUSG00000015766.14	0.06	0.594530036543481	NS
Ccnjl	ENSMUSG00000044707.7	0.23	0.594704730266272	NS
Wbp2	ENSMUSG00000034341.17	-0.1	0.594704730266272	NS
Slc7a8	ENSMUSG00000022180.7	-0.06	0.594704730266272	NS
Gm7857	ENSMUSG00000082655.1	0.1	0.594704730266272	NS
Pkn1	ENSMUSG00000057672.16	-0.23	0.594783795668318	NS
AC129188.1	ENSMUSG00000117743.1	-0.03	0.594813805951629	NS
Prkcsh	ENSMUSG00000003402.14	0.1	0.594891024575379	NS
Acod1	ENSMUSG00000022126.6	-0.11	0.594891024575379	NS
Gm12857	ENSMUSG00000081233.1	0.18	0.594938537968908	NS
AC133523.4	ENSMUSG00000118132.1	0.28	0.595093577274475	NS
Aldh3a2	ENSMUSG00000010025.19	-0.05	0.595288779378537	NS
Dpyd	ENSMUSG00000033308.16	-0.06	0.595336629981871	NS
Mcpt9	ENSMUSG00000071361.1	0.04	0.595633517513094	NS
Gm15953	ENSMUSG00000081605.1	-0.04	0.595692529755143	NS
Stk32c	ENSMUSG00000015981.12	-0.04	0.595825598354268	NS
Gm8242	ENSMUSG00000102827.1	0.11	0.595924312247034	NS
Trim30d	ENSMUSG00000057596.13	-0.25	0.59623105985034	NS
Gm14091	ENSMUSG00000086421.1	-0.04	0.596394690826553	NS
Heatr6	ENSMUSG00000000976.13	-0.24	0.596394690826553	NS
Hist1h3h	ENSMUSG00000101355.1	0.04	0.596394690826553	NS
BC024139	ENSMUSG00000044361.16	-0.2	0.596394690826553	NS
Cyp2c65	ENSMUSG00000067231.4	-0.11	0.596394690826553	NS
Gm19434	ENSMUSG00000108239.1	-0.09	0.596438992728342	NS
Cdk5r1	ENSMUSG00000048895.13	-0.04	0.596573331826551	NS
F2	ENSMUSG00000027249.15	-0.04	0.596787237487436	NS
Emp1	ENSMUSG00000030208.15	0.23	0.596828253357281	NS
Ccl7	ENSMUSG00000035373.2	0.04	0.596835942611509	NS
Slc3a1	ENSMUSG00000024131.8	0.06	0.596835942611509	NS
Leprotl1	ENSMUSG00000031513.8	0.22	0.597159657488168	NS
Aldh1l1	ENSMUSG00000030088.15	-0.12	0.597264213625105	NS
C1qtnf7	ENSMUSG00000061535.11	-0.09	0.597408338907345	NS
Setbp1	ENSMUSG00000024548.11	-0.14	0.597454319936847	NS
Igkv8-24	ENSMUSG00000076583.1	0.06	0.59745849958511	NS
Gm17805	ENSMUSG00000114453.1	0.03	0.597503574359224	NS
Limd1	ENSMUSG00000025239.3	0.11	0.597585578201317	NS
Gm12778	ENSMUSG00000081491.1	0.12	0.597963484488204	NS
Ncbp2	ENSMUSG00000022774.13	0.22	0.598302754511548	NS
Tmem68	ENSMUSG00000028232.13	0.21	0.598687095816184	NS
Gm7435	ENSMUSG00000111662.1	-0.25	0.598873210487536	NS
Gm35853	ENSMUSG00000116114.1	-0.06	0.598914123699189	NS
Spdef	ENSMUSG00000024215.14	0.22	0.598914123699189	NS
Sphk1	ENSMUSG00000061878.15	0.27	0.599107051362212	NS
Hibch	ENSMUSG00000041426.12	0.26	0.599381686158013	NS
Ndc1	ENSMUSG00000028614.14	0.21	0.599381686158013	NS
Tagln2	ENSMUSG00000026547.15	0.05	0.599514594638574	NS
Scamp5	ENSMUSG00000040722.7	0.12	0.599514594638574	NS
C730034F03Rik	ENSMUSG00000079242.2	-0.17	0.599514594638574	NS
Gm8416	ENSMUSG00000114533.1	-0.03	0.599687709525549	NS
mt-Cytb	ENSMUSG00000064370.1	-0.06	0.599687709525549	NS
Mroh3	ENSMUSG00000087230.10	-0.11	0.59974705411006	NS
Nusap1	ENSMUSG00000027306.15	0.24	0.59974705411006	NS
Gm11836	ENSMUSG00000081239.3	0.29	0.59974705411006	NS
Cers4	ENSMUSG00000008206.16	-0.2	0.59974705411006	NS
Glrx	ENSMUSG00000021591.8	-0.05	0.59974705411006	NS
Ndst1	ENSMUSG00000054008.9	-0.23	0.59974705411006	NS
Utp11	ENSMUSG00000028907.7	0.25	0.599992435642235	NS
Sarm1	ENSMUSG00000050132.13	-0.09	0.599992435642235	NS
Gm7868	ENSMUSG00000113600.1	0.04	0.599992435642235	NS
Gm48961	ENSMUSG00000115793.1	-0.03	0.600054055576452	NS
Cyb5r3	ENSMUSG00000018042.18	0.06	0.600054055576452	NS
Lmnb1	ENSMUSG00000024590.8	-0.04	0.600054055576452	NS
Gm12460	ENSMUSG00000084116.1	0.04	0.600202493864291	NS
Iqsec2	ENSMUSG00000041115.16	-0.22	0.600202493864291	NS
Gm15421	ENSMUSG00000084235.2	0.22	0.600389489381197	NS
Gm43649	ENSMUSG00000104707.1	0.06	0.600389489381197	NS
Calhm3	ENSMUSG00000094219.1	0.06	0.600571156119519	NS
Igkj2	ENSMUSG00000076605.2	0.12	0.600637462343085	NS
Dusp8	ENSMUSG00000037887.11	-0.18	0.600637462343085	NS
Miip	ENSMUSG00000029022.18	-0.27	0.600729230061489	NS
AU022252	ENSMUSG00000078584.9	0.33	0.600792976657348	NS
Tjp3	ENSMUSG00000034917.8	0.05	0.600800492146321	NS
Gm30262	ENSMUSG00000112249.1	-0.03	0.600800492146321	NS
Yipf1	ENSMUSG00000057375.13	0.06	0.600980795478548	NS
Thrsp	ENSMUSG00000035686.8	-0.03	0.600980795478548	NS
Atp5l-ps2	ENSMUSG00000080823.1	0.04	0.600980795478548	NS
B130046B21Rik	ENSMUSG00000097414.2	-0.03	0.600980795478548	NS
AC102342.2	ENSMUSG00000117613.1	-0.05	0.600980795478548	NS
Rbm10	ENSMUSG00000031060.16	0.12	0.600980795478548	NS
Gm18541	ENSMUSG00000110768.1	0.04	0.601045277089723	NS
Brip1os	ENSMUSG00000085208.3	0.21	0.601045277089723	NS
Gm20531	ENSMUSG00000092482.1	-0.04	0.601070471404802	NS
Gm5614	ENSMUSG00000066771.2	0.04	0.601070471404802	NS
Gm18119	ENSMUSG00000112007.1	0.03	0.601070471404802	NS
AC132452.1	ENSMUSG00000117739.1	-0.03	0.601435188629032	NS
Gm40123	ENSMUSG00000105961.1	0.04	0.601639866179011	NS
5031415H12Rik	ENSMUSG00000097282.1	-0.06	0.601639866179011	NS
E330020D12Rik	ENSMUSG00000073538.10	0.04	0.601855361431978	NS
Mettl21a	ENSMUSG00000025956.10	0.22	0.602001388616224	NS
Gm5910	ENSMUSG00000110617.1	0.04	0.602001388616224	NS
Cnr2	ENSMUSG00000062585.11	-0.09	0.602101250041056	NS
Ube2q2	ENSMUSG00000032307.16	0.25	0.602341156299457	NS
Pdcd6ip	ENSMUSG00000032504.15	0.06	0.602341156299457	NS
Fam114a2	ENSMUSG00000020523.14	0.1	0.602341156299457	NS
Gal3st2	ENSMUSG00000094651.2	-0.21	0.602391916047701	NS
Gm43817	ENSMUSG00000105341.1	-0.03	0.60241643310801	NS
Rplp1-ps1	ENSMUSG00000084185.1	0.04	0.60241643310801	NS
Trim26	ENSMUSG00000024457.16	0.11	0.602717743595552	NS
Chadl	ENSMUSG00000063765.12	-0.04	0.602864533988949	NS
Stox1	ENSMUSG00000036923.12	0.06	0.60286653943429	NS
Gm11970	ENSMUSG00000079988.2	0.04	0.602892521664186	NS
Gpr17	ENSMUSG00000052229.5	-0.03	0.602892521664186	NS
Smndc1	ENSMUSG00000025024.7	0.24	0.603318385988146	NS
Gm47167	ENSMUSG00000113907.1	-0.04	0.603526150344563	NS
Tmprss2	ENSMUSG00000000385.8	0.05	0.603849755592486	NS
Xpo1	ENSMUSG00000020290.14	0.22	0.603959030612387	NS
Rpl31-ps10	ENSMUSG00000070667.7	0.1	0.604173050765599	NS
6430511E19Rik	ENSMUSG00000102555.1	-0.25	0.604173050765599	NS
Rapgef3	ENSMUSG00000022469.17	-0.29	0.604173050765599	NS
Tceal1	ENSMUSG00000049536.5	0.04	0.604173050765599	NS
Ap3b1	ENSMUSG00000021686.6	0.11	0.604215302058906	NS
Rpl31-ps9	ENSMUSG00000094122.1	0.04	0.60441063537201	NS
Gm43958	ENSMUSG00000108169.1	-0.06	0.60441063537201	NS
Mthfr	ENSMUSG00000029009.17	-0.26	0.604459825784006	NS
Exoc3l	ENSMUSG00000043251.6	-0.03	0.60449744510903	NS
Aoah	ENSMUSG00000021322.8	-0.09	0.604524313582295	NS
C430014B12Rik	ENSMUSG00000097564.2	-0.06	0.604622661479154	NS
Pilra	ENSMUSG00000046245.13	-0.09	0.604622661479154	NS
Gm2059	ENSMUSG00000110429.1	0.04	0.604622661479154	NS
Psg25	ENSMUSG00000070798.4	0.03	0.604629966266999	NS
Aplp2	ENSMUSG00000031996.17	-0.06	0.604629966266999	NS
Rfc4	ENSMUSG00000022881.15	0.23	0.604629966266999	NS
Ralgapa2	ENSMUSG00000037110.20	-0.23	0.604669113922677	NS
Slc29a4	ENSMUSG00000050822.11	0.1	0.604669113922677	NS
Gm15987	ENSMUSG00000085786.1	-0.04	0.604669113922677	NS
Snhg1	ENSMUSG00000108414.1	0.23	0.604669113922677	NS
AC113961.1	ENSMUSG00000118038.1	0.25	0.604669113922677	NS
Slc22a20	ENSMUSG00000037451.8	-0.05	0.604720075149157	NS
Alas1	ENSMUSG00000032786.16	0.05	0.604751817451931	NS
Atp1b1	ENSMUSG00000026576.12	0.06	0.604858103421919	NS
Gm45844	ENSMUSG00000110105.1	-0.03	0.604858103421919	NS
Cltc	ENSMUSG00000047126.17	0.05	0.604858103421919	NS
Gm37297	ENSMUSG00000104114.1	-0.17	0.605010585541662	NS
Dnajc11	ENSMUSG00000039768.16	0.11	0.605370324609951	NS
Ankrd42	ENSMUSG00000041343.19	0.18	0.60551707892309	NS
Tmcc1	ENSMUSG00000030126.17	-0.22	0.605522919822241	NS
Apbb2	ENSMUSG00000029207.16	-0.21	0.605631661173441	NS
Gm3787	ENSMUSG00000116284.1	0.1	0.605785262065902	NS
AC132253.4	ENSMUSG00000118100.1	0.3	0.605871629373337	NS
Rps19-ps8	ENSMUSG00000096920.1	-0.04	0.605947903942015	NS
Abcg3	ENSMUSG00000029299.14	-0.05	0.606084105394715	NS
Slc5a11	ENSMUSG00000030769.15	-0.12	0.606084105394715	NS
Mmp19	ENSMUSG00000025355.7	-0.08	0.606084105394715	NS
Sept5	ENSMUSG00000072214.7	0.11	0.606084105394715	NS
Gm46565	ENSMUSG00000116581.1	-0.04	0.606084105394715	NS
Atp5k-ps2	ENSMUSG00000081700.1	0.24	0.606229524553339	NS
Epb41	ENSMUSG00000028906.16	-0.1	0.606229524553339	NS
2010001K21Rik	ENSMUSG00000051606.5	-0.3	0.606236694847269	NS
Gm37159	ENSMUSG00000103233.1	0.07	0.606342764718176	NS
Med18	ENSMUSG00000066042.4	0.25	0.606548488892319	NS
Rcc2	ENSMUSG00000040945.13	-0.2	0.606548488892319	NS
Zfp248	ENSMUSG00000030145.14	-0.04	0.606548488892319	NS
Cdiptos	ENSMUSG00000097075.3	-0.04	0.606548488892319	NS
Gm10479	ENSMUSG00000073184.4	0.06	0.606548488892319	NS
Gm14639	ENSMUSG00000082253.3	0.04	0.606548488892319	NS
2310008N11Rik	ENSMUSG00000100335.2	-0.03	0.606604902153129	NS
F830112A20Rik	ENSMUSG00000103159.1	-0.1	0.606696248558966	NS
Prg4	ENSMUSG00000006014.16	-0.17	0.606696248558966	NS
Gm19170	ENSMUSG00000110650.1	-0.04	0.60670765749555	NS
Ifi204	ENSMUSG00000073489.6	-0.05	0.606931992768601	NS
Stim2	ENSMUSG00000039156.19	-0.25	0.606931992768601	NS
Erbb2	ENSMUSG00000062312.5	-0.04	0.606931992768601	NS
CT025601.1	ENSMUSG00000117010.1	0.03	0.606931992768601	NS
Gm42725	ENSMUSG00000105601.1	-0.06	0.607324505748451	NS
Crlf1	ENSMUSG00000007888.15	0.05	0.607324505748451	NS
Aldh18a1	ENSMUSG00000025007.13	-0.05	0.607354431767675	NS
Mmp24	ENSMUSG00000027612.7	0.03	0.607695363883287	NS
Tspan32	ENSMUSG00000000244.17	-0.21	0.607695363883287	NS
Pdhx	ENSMUSG00000010914.10	0.21	0.607985013479644	NS
1700001C19Rik	ENSMUSG00000047150.8	0.11	0.608179493845387	NS
Ms4a4a	ENSMUSG00000101389.1	-0.05	0.608179493845387	NS
Tprn	ENSMUSG00000048707.9	-0.05	0.608241147266425	NS
Gm15519	ENSMUSG00000083443.1	0.04	0.608241147266425	NS
Rhbdf1	ENSMUSG00000020282.18	-0.3	0.608241147266425	NS
AC079441.1	ENSMUSG00000117231.1	-0.08	0.608271779006103	NS
Ewsr1	ENSMUSG00000009079.16	0.05	0.608820456506182	NS
Saysd1	ENSMUSG00000045107.5	0.21	0.609109276183354	NS
Foxo3	ENSMUSG00000048756.11	-0.07	0.609135101905653	NS
Rcn1	ENSMUSG00000005973.6	0.22	0.60916323151965	NS
Piezo1	ENSMUSG00000014444.17	-0.24	0.609196383826483	NS
Gm3436	ENSMUSG00000096160.2	0.06	0.609196383826483	NS
AC122453.1	ENSMUSG00000117438.1	0.11	0.609196383826483	NS
Gm14274	ENSMUSG00000083793.1	0.04	0.609248818514409	NS
Rpl4	ENSMUSG00000032399.8	0.05	0.609248818514409	NS
Gem	ENSMUSG00000028214.13	0.1	0.609318714053866	NS
Gm13171	ENSMUSG00000082429.1	0.04	0.609547343507304	NS
Serf2	ENSMUSG00000074884.12	0.13	0.609691144841796	NS
Atg9b	ENSMUSG00000038295.14	0.02	0.609802748792335	NS
Bmp2k	ENSMUSG00000034663.13	-0.27	0.609802748792335	NS
Gng12	ENSMUSG00000036402.13	0.05	0.609802748792335	NS
Gstp-ps	ENSMUSG00000103653.1	0.2	0.609901822530811	NS
Tmem94	ENSMUSG00000020747.17	-0.12	0.610118463508198	NS
Gm45380	ENSMUSG00000110360.1	0.07	0.610153847166293	NS
Rabl6	ENSMUSG00000015087.14	0.2	0.610255073246752	NS
2310009A05Rik	ENSMUSG00000098332.2	0.27	0.610255073246752	NS
Pcdhgb7	ENSMUSG00000104063.1	-0.05	0.610255073246752	NS
Thoc2	ENSMUSG00000037475.15	-0.11	0.610255073246752	NS
P2ry10b	ENSMUSG00000054293.10	0.03	0.610255073246752	NS
Gm8113	ENSMUSG00000089901.1	-0.09	0.610293558734781	NS
Hsp90aa1	ENSMUSG00000021270.13	0.05	0.610965429396137	NS
Dhrs4	ENSMUSG00000022210.7	0.06	0.61112140481212	NS
Ttl	ENSMUSG00000027394.13	0.21	0.611156918446134	NS
Gm25082	ENSMUSG00000093734.1	-0.04	0.611156918446134	NS
Senp7	ENSMUSG00000052917.15	-0.31	0.611156918446134	NS
5930430L01Rik	ENSMUSG00000106951.1	-0.18	0.611333600895016	NS
Gm16372	ENSMUSG00000057160.2	0.09	0.611344235218149	NS
Gm16146	ENSMUSG00000089744.2	-0.03	0.611344235218149	NS
Gm38329	ENSMUSG00000103632.1	-0.02	0.611356509098581	NS
Tpi1	ENSMUSG00000023456.15	0.05	0.611356509098581	NS
2810001G20Rik	ENSMUSG00000087497.7	0.19	0.61146569610769	NS
Gnptg	ENSMUSG00000035521.13	0.25	0.611637405023088	NS
Platr26	ENSMUSG00000064263.6	0.05	0.6116928799631	NS
Gm6681	ENSMUSG00000107713.1	0.13	0.611946105400934	NS
Gba	ENSMUSG00000028048.11	0.21	0.612046815987047	NS
Cd82	ENSMUSG00000027215.13	0.05	0.612185585651289	NS
Katnal1	ENSMUSG00000041298.15	-0.19	0.612185585651289	NS
Gm24105	ENSMUSG00000105790.1	0.03	0.612185585651289	NS
Senp5	ENSMUSG00000022772.12	0.21	0.612185585651289	NS
D030047H15Rik	ENSMUSG00000085886.1	-0.03	0.612195189008938	NS
Gm14963	ENSMUSG00000085196.1	-0.17	0.612195189008938	NS
Pcyox1l	ENSMUSG00000024579.7	0.27	0.61224662057057	NS
Hnrnph1	ENSMUSG00000007850.16	-0.11	0.612253948376559	NS
Gm4853	ENSMUSG00000081473.3	0.03	0.612253948376559	NS
Gm12500	ENSMUSG00000056411.2	-0.07	0.612288258942835	NS
Eef1akmt2	ENSMUSG00000030960.16	0.27	0.612288258942835	NS
Dlec1	ENSMUSG00000038060.15	-0.1	0.612288258942835	NS
Gm43329	ENSMUSG00000105842.1	0.03	0.612485943839957	NS
Lmo3	ENSMUSG00000030226.12	-0.1	0.612485943839957	NS
Slc22a17	ENSMUSG00000022199.12	-0.03	0.612485943839957	NS
AI597479	ENSMUSG00000010290.7	0.27	0.612855676882131	NS
Acsl1	ENSMUSG00000018796.13	-0.1	0.612855676882131	NS
Csk	ENSMUSG00000032312.7	0.21	0.612855676882131	NS
Clk4	ENSMUSG00000020385.16	-0.22	0.612855676882131	NS
Slc39a9	ENSMUSG00000048833.9	0.05	0.612855676882131	NS
Dhx58	ENSMUSG00000017830.15	0.26	0.613053596592405	NS
Gm7407	ENSMUSG00000109255.1	0.06	0.613151576128657	NS
Tspan4	ENSMUSG00000025511.14	0.28	0.613326410106609	NS
Stx16	ENSMUSG00000027522.15	-0.26	0.613614690835317	NS
Dop1a	ENSMUSG00000034973.16	-0.2	0.613614690835317	NS
Mapkapk5	ENSMUSG00000029454.15	-0.11	0.613844206768293	NS
AC132253.6	ENSMUSG00000118138.1	0.04	0.613844206768293	NS
Klrb1	ENSMUSG00000079299.3	0.03	0.614064629438999	NS
Gm5626	ENSMUSG00000113660.1	0.16	0.614064629438999	NS
Coro2a	ENSMUSG00000028337.14	0.06	0.614166548341466	NS
Gm38228	ENSMUSG00000103945.1	-0.09	0.614221918998624	NS
Nsun4	ENSMUSG00000028706.14	0.24	0.614221918998624	NS
Gm5883	ENSMUSG00000083713.1	0.06	0.614292726861687	NS
Tapbpl	ENSMUSG00000038213.7	0.21	0.614401557133066	NS
Fdxr	ENSMUSG00000018861.8	0.26	0.614401557133066	NS
Gm5449	ENSMUSG00000063166.4	0.03	0.614401557133066	NS
Pigt	ENSMUSG00000017721.15	-0.05	0.614475183009168	NS
Prpf40a	ENSMUSG00000061136.14	0.05	0.614561534816213	NS
Gm42571	ENSMUSG00000107109.1	-0.25	0.614664891700178	NS
Mkln1	ENSMUSG00000025609.15	0.11	0.614664891700178	NS
Myd88	ENSMUSG00000032508.8	0.21	0.614664891700178	NS
Havcr1	ENSMUSG00000040405.13	-0.04	0.614664891700178	NS
Gm43682	ENSMUSG00000107019.1	-0.04	0.61512012235572	NS
1700001D01Rik	ENSMUSG00000099419.1	-0.04	0.61512012235572	NS
Mthfs	ENSMUSG00000066442.17	0.26	0.615356205202085	NS
Stpg1	ENSMUSG00000028801.14	-0.04	0.615421590378562	NS
Lrrc73	ENSMUSG00000071073.5	0.03	0.615680031007229	NS
Tars2	ENSMUSG00000028107.14	0.1	0.615731280983266	NS
Arhgef25	ENSMUSG00000019467.15	0.03	0.615889173321251	NS
Cbx4	ENSMUSG00000039989.7	-0.2	0.616156293064174	NS
Slc7a7	ENSMUSG00000000958.10	0.11	0.616156293064174	NS
Gm12207	ENSMUSG00000086920.1	-0.04	0.61626978883572	NS
Mir142hg	ENSMUSG00000084796.1	-0.16	0.616458437849375	NS
Gm14911	ENSMUSG00000083602.1	0.06	0.616723066237695	NS
Nsg2	ENSMUSG00000020297.10	-0.03	0.616739628446494	NS
Defa-ps17	ENSMUSG00000095925.1	0.03	0.617022985475067	NS
Gm8209	ENSMUSG00000108370.1	0.03	0.617073568620723	NS
Vapb	ENSMUSG00000054455.4	0.23	0.617153093248031	NS
Otud6b	ENSMUSG00000040550.17	0.2	0.617258344505317	NS
Pik3r2	ENSMUSG00000031834.15	0.12	0.617258344505317	NS
Alox12b	ENSMUSG00000032807.5	0.02	0.617392938644302	NS
Trp53rka	ENSMUSG00000039725.6	0.24	0.617405248086344	NS
Pnpla2	ENSMUSG00000025509.15	-0.05	0.617730134644756	NS
Ppfia2	ENSMUSG00000053825.15	-0.05	0.617730134644756	NS
Cldn15	ENSMUSG00000001739.14	-0.05	0.618159924723967	NS
Gm7990	ENSMUSG00000110595.1	0.12	0.618159924723967	NS
Gm7556	ENSMUSG00000106827.1	-0.07	0.61817573519246	NS
Panx1	ENSMUSG00000031934.14	0.26	0.61817573519246	NS
Map7	ENSMUSG00000019996.17	-0.11	0.61817573519246	NS
Itgb3bp	ENSMUSG00000028549.17	0.25	0.618580813633375	NS
Sh3rf1	ENSMUSG00000031642.9	-0.22	0.618580813633375	NS
Tmc5	ENSMUSG00000030650.18	-0.11	0.618591838975893	NS
Anks6	ENSMUSG00000066191.12	-0.14	0.618667575003569	NS
Maff	ENSMUSG00000042622.14	0.25	0.618797822173486	NS
Cacnb4	ENSMUSG00000017412.15	-0.1	0.618929118364331	NS
Tmem151a	ENSMUSG00000061451.13	0.19	0.618929118364331	NS
Cyp2c23	ENSMUSG00000025197.9	-0.19	0.618929118364331	NS
Slc16a12	ENSMUSG00000009378.4	0.21	0.619019440065286	NS
Usp14	ENSMUSG00000047879.17	0.11	0.619193579213804	NS
Cyfip1	ENSMUSG00000030447.15	-0.05	0.619245735654298	NS
Gm6035	ENSMUSG00000114551.1	0.06	0.619245735654298	NS
Cd81	ENSMUSG00000037706.17	0.05	0.619298768669366	NS
Pnrc1	ENSMUSG00000040128.9	-0.21	0.619337215362542	NS
Kcnip2	ENSMUSG00000025221.15	-0.03	0.619337215362542	NS
Tspan18	ENSMUSG00000027217.13	-0.1	0.61938452940496	NS
Gm28071	ENSMUSG00000100397.1	0.02	0.619568766676753	NS
Cenpf	ENSMUSG00000026605.14	-0.21	0.619568766676753	NS
Golga1	ENSMUSG00000026754.16	-0.2	0.619568766676753	NS
Snrnp70	ENSMUSG00000063511.11	-0.11	0.619568766676753	NS
Gm21926	ENSMUSG00000116995.1	0.25	0.619568766676753	NS
Rnf5	ENSMUSG00000015478.13	0.11	0.619568766676753	NS
Gm7079	ENSMUSG00000068243.6	0.17	0.619568766676753	NS
Afap1	ENSMUSG00000029094.12	0.24	0.619732155406057	NS
Ptges2	ENSMUSG00000026820.5	0.27	0.619772904923758	NS
Hnrnpm	ENSMUSG00000059208.15	-0.05	0.619772904923758	NS
Gm13166	ENSMUSG00000085525.7	0.03	0.61980349173317	NS
Mfn2	ENSMUSG00000029020.13	-0.05	0.61980349173317	NS
Nipal1	ENSMUSG00000067219.9	-0.2	0.61980349173317	NS
Dao	ENSMUSG00000042096.15	-0.26	0.61980349173317	NS
Ppara	ENSMUSG00000022383.13	-0.2	0.61980349173317	NS
1700120C14Rik	ENSMUSG00000100599.2	-0.06	0.61980349173317	NS
Gm20036	ENSMUSG00000093579.1	-0.03	0.619849629434226	NS
Gm28439	ENSMUSG00000100131.1	-0.23	0.619952914309445	NS
Qsox1	ENSMUSG00000033684.14	0.11	0.619952914309445	NS
Gon4l	ENSMUSG00000054199.17	-0.22	0.619952914309445	NS
Mir8116	ENSMUSG00000099145.1	-0.06	0.619952914309445	NS
