seqnames	start	end	width	strand	peakID	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	SYMBOL
chr8	84661129	84661367	239	*	peak_2685	Promoter	8	84661331	84662854	1524	2	Ier2
chr7	27591079	27591485	407	*	peak_2451	Promoter	7	27591552	27640826	49275	1	Akt2
chr12	70731545	70731766	222	*	peak_632	Intron	12	70825514	70902234	76721	1	Frmd6
chr7	64950465	64950896	432	*	peak_2476	Intron	7	64767723	64925560	157838	2	Fam189a1
chr6	54120087	54120844	758	*	peak_2312	Intron	6	54097720	54220537	122818	1	Chn2
chr3	88296987	88297586	600	*	peak_1771	Promoter	3	88297116	88321767	24652	1	Cct3
chr7	112202117	112202417	301	*	peak_2531	Distal Intergenic	7	112225856	112355194	129339	1	Mical2
chr8	27387580	27387832	253	*	peak_2634	Intron	8	27368782	27397512	28731	1	Chrnb3
chr18	39558537	39559019	483	*	peak_1344	Distal Intergenic	18	39487128	39519421	32294	2	Nr3c1
chr13	53301131	53301342	212	*	peak_752	Distal Intergenic	13	53109317	53286124	176808	2	Ror2
chr7	67999446	67999743	298	*	peak_2483	Intron	7	67952827	68233668	280842	1	Igf1r
chr8	9070193	9070505	313	*	peak_2610	Distal Intergenic	8	9125412	9132288	6877	2	4933430N04Rik
chr13	42260850	42261117	268	*	peak_742	Distal Intergenic	13	42301476	42307990	6515	1	Edn1
chr11	51615334	51615711	378	*	peak_416	Distal Intergenic	11	51619735	51623714	3980	1	Nhp2
chr8	68857398	68857675	278	*	peak_2666	Distal Intergenic	8	68880491	68906934	26444	1	Lpl
chr8	124267220	124267461	242	*	peak_2748	Intron	8	124295103	124323729	28627	1	Galnt2
chr9	116872935	116873417	483	*	peak_2913	Intron	9	116582822	116822819	239998	2	Rbms3
chr1	151025012	151025556	545	*	peak_131	Distal Intergenic	1	150873748	150993435	119688	2	Hmcn1
chr17	39848525	39848810	286	*	peak_1239	Promoter	17	39846958	39848788	1831	1	Rn45s
chr2	167014881	167015297	417	*	peak_1700	Promoter	2	167015193	167034947	19755	1	Ddx27
chr9	120674814	120675243	430	*	peak_2922	Exon	9	120577346	120578072	727	1	5830454E08Rik
chr5	32182754	32183560	807	*	peak_2080	Distal Intergenic	5	32146521	32153713	7193	1	Fosl2
chr2	75770886	75771944	1059	*	peak_1609	Distal Intergenic	2	75832177	75931350	99174	1	Agps
chr3	84191494	84191855	362	*	peak_1763	Promoter	3	84190662	84191548	887	2	Trim2
chr3	14620148	14620451	304	*	peak_1727	Distal Intergenic	3	14606284	14611285	5002	2	Rbis
chr15	61450185	61450764	580	*	peak_992	Distal Intergenic	15	61534676	61745184	210509	2	D030024E09Rik
chr5	115971329	115971823	495	*	peak_2185	3' UTR	5	115968025	116006365	38341	1	Cit
chr10	108428382	108428745	364	*	peak_323	Intron	10	108436665	108453297	16633	1	Gm36283
chr12	102960966	102961296	331	*	peak_667	Intron	12	102949554	103183613	234060	1	Unc79
chr10	115505822	115506168	347	*	peak_337	Intron	10	115457845	115463079	5235	2	Lgr5
chr3	52139930	52140525	596	*	peak_1744	Intron	3	51685907	52105076	419170	2	Maml3
chr3	129886449	129887078	630	*	peak_1821	Intron	3	129881184	129894957	13774	1	Pla2g12a
chr4	62509001	62509520	520	*	peak_1911	3' UTR	4	62499943	62503467	3525	2	Hdhd3
chr9	119322445	119322688	244	*	peak_2920	Promoter	9	119238432	119322427	83996	2	Oxsr1
chr4	95143735	95144121	387	*	peak_1936	Intron	4	95049034	95052222	3189	2	Jun
chr9	80181786	80182027	242	*	peak_2869	Intron	9	80165227	80308097	142871	1	Myo6
chr5	64861302	64861585	284	*	peak_2111	Distal Intergenic	5	64826809	64829550	2742	1	Klf3
chr8	109648583	109648841	259	*	peak_2715	Promoter	8	109647485	109674386	26902	1	Pkd1l3
chr1	39331367	39331716	350	*	peak_25	Intron	1	39341555	39345466	3912	1	Npas2
chr5	64345200	64345969	770	*	peak_2108	Exon	5	64298530	64351481	52952	1	Tbc1d1
chr8	121851618	121852051	434	*	peak_2742	Exon	8	121796313	121829569	33257	2	Klhdc4
chr7	44695302	44695638	337	*	peak_2466	Distal Intergenic	7	44708742	44719834	11093	1	Izumo2
chr15	98632916	98633128	213	*	peak_1055	Promoter	15	98632381	98634567	2187	1	Cacnb3
chr14	31401276	31401596	321	*	peak_848	Intron	14	31377595	31407385	29791	2	Sh3bp5
chr5	122422150	122422490	341	*	peak_2203	Promoter	5	122422444	122444912	22469	1	Anapc7
chr13	107063276	107063987	712	*	peak_806	Exon	13	107032880	107055497	22618	1	3830408C21Rik
chr5	148739558	148741225	1668	*	peak_2250	Promoter	5	148741840	148743139	1300	1	2210417A02Rik
chr4	75754134	75754469	336	*	peak_1919	Distal Intergenic	4	76039337	76084457	45121	2	Ptprd
chr2	75643244	75643595	352	*	peak_1603	Distal Intergenic	2	75659261	75665839	6579	1	Hnrnpa3
chr18	69224546	69225276	731	*	peak_1385	Distal Intergenic	18	69343356	69564082	220727	1	Tcf4
chr12	69367632	69368009	378	*	peak_626	Distal Intergenic	12	69372150	69373783	1634	1	Arf6
chr14	61057038	61057515	478	*	peak_895	Intron	14	60974361	61046490	72130	2	Tnfrsf19
chr2	73271052	73272802	1751	*	peak_1599	Promoter	2	73271925	73277471	5547	1	Sp9
chr10	96617370	96617620	251	*	peak_309	Promoter	10	96617554	96618668	1115	1	Btg1
chr11	108979997	108980861	865	*	peak_547	Distal Intergenic	11	108943621	108950783	7163	1	Axin2
chr7	90145391	90145724	334	*	peak_2511	Intron	7	90131645	90165572	33928	1	Picalm
chr12	8496120	8496729	610	*	peak_591	Downstream	12	8497661	8500009	2349	2	Rhob
chr6	29170072	29170988	917	*	peak_2274	Exon	6	29123576	29165006	41431	2	Rbm28
chr7	66787200	66787462	263	*	peak_2481	Intron	7	66764169	66821842	57674	1	Cers3
chr2	52868093	52868707	615	*	peak_1563	Intron	2	52857868	53131878	274011	1	Fmnl2
chr5	148994584	148994929	346	*	peak_2251	Promoter	5	148893775	148995147	101373	2	Katnal1
chr4	117986703	117986961	259	*	peak_1966	Intron	4	117940446	117968448	28003	2	St3gal3
chr10	111558747	111560492	1746	*	peak_327	Distal Intergenic	10	111586719	111594273	7555	2	4933440J02Rik
chr4	98106237	98107605	1369	*	peak_1940	Intron	4	97911033	98042595	131563	1	Nfia
chr3	57735491	57735757	267	*	peak_1749	Promoter	3	57736062	57835231	99170	1	Rnf13
chr2	93723518	93723954	437	*	peak_1622	Intron	2	93702956	93707318	4363	2	Ext2
chr11	108936396	108936753	358	*	peak_546	Promoter	11	108938874	108942559	3686	1	Axin2
chr18	74430917	74431231	315	*	peak_1393	Distal Intergenic	18	74440936	74617023	176088	1	Myo5b
chr9	117243374	117244291	918	*	peak_2916	Intron	9	116943123	117251597	308475	2	Rbms3
chr15	81964534	81964853	320	*	peak_1029	Distal Intergenic	15	81951108	81960930	9823	2	Pmm1
chr9	67831757	67832395	639	*	peak_2858	Promoter	9	67830489	67832330	1842	2	C2cd4a
chr4	129251230	129252144	915	*	peak_1978	Intron	4	129219578	129248443	28866	2	C77080
chr4	132037334	132037552	219	*	peak_1989	Intron	4	131923429	132049078	125650	2	Epb41
chr9	14731076	14731395	320	*	peak_2778	Intron	9	14701778	14740721	38944	2	Piwil4
chr13	29156441	29157428	988	*	peak_714	Distal Intergenic	13	29016708	29040336	23629	1	A330102I10Rik
chr4	116659539	116659898	360	*	peak_1963	Distal Intergenic	4	116636510	116651680	15171	2	Akr1a1
chr19	24961138	24961680	543	*	peak_1446	Promoter	19	24919916	24961601	41686	2	Cbwd1
chr6	94680826	94681469	644	*	peak_2356	Promoter	6	94625034	94680630	55597	2	Lrig1
chr19	3674481	3674848	368	*	peak_1408	Intron	19	3584828	3686556	101729	2	Lrp5
chr11	117332192	117332438	247	*	peak_575	Promoter	11	117332345	117362324	29980	1	Septin9
chr4	63100603	63100974	372	*	peak_1915	Intron	4	63120400	63121428	1029	1	Zfp618
chr1	156732087	156732588	502	*	peak_143	Distal Intergenic	1	156678571	156719086	40516	2	Fam20b
chr10	62340509	62340988	480	*	peak_261	Promoter	10	62268855	62340542	71688	2	Hk1
chr15	99099447	99099743	297	*	peak_1058	Promoter	15	99099412	99104737	5326	1	Dnajc22
chr5	119575140	119575373	234	*	peak_2199	Promoter	5	119570130	119574946	4817	2	AW549542
chr4	45464558	45464894	337	*	peak_1884	Intron	4	45423278	45482802	59525	2	Shb
chr13	119609605	119611503	1899	*	peak_826	3' UTR	13	119606650	119610458	3809	1	Tmem267
chr5	118489202	118489466	265	*	peak_2193	Intron	5	118560679	118720114	159436	1	Med13l
chr6	30026904	30027215	312	*	peak_2276	Distal Intergenic	6	30047988	30153458	105471	1	Nrf1
chr1	67077764	67078040	277	*	peak_50	Distal Intergenic	1	67000517	67038872	38356	2	Lancl1
chrY	90812340	90812969	630	*	peak_2966	Intron	21	90790451	90816465	26015	1	Erdr1
chr5	107866751	107867269	519	*	peak_2173	Promoter	5	107819660	107868388	48729	2	Evi5
chr4	106839885	106840130	246	*	peak_1953	Distal Intergenic	4	106747235	106804998	57764	2	Acot11
chr9	102717381	102718275	895	*	peak_2892	Promoter	9	102717668	102733418	15751	1	Amotl2
chr5	64653648	64654239	592	*	peak_2110	Distal Intergenic	5	64593857	64610700	16844	2	Gm3716
chr8	121591144	121591480	337	*	peak_2741	Promoter	8	121590712	121596995	6284	1	Map1lc3b
chr6	52118608	52119272	665	*	peak_2305	Exon	6	52103003	52112188	9186	1	Halr1
chr9	44484687	44486055	1369	*	peak_2808	Promoter	9	44487247	44511896	24650	1	Bcl9l
chr2	152048879	152049420	542	*	peak_1681	Distal Intergenic	2	152081529	152095802	14274	1	Scrt2
chr6	113483169	113483509	341	*	peak_2366	Promoter	6	113483297	113493338	10042	1	Creld1
chr15	85028387	85028653	267	*	peak_1041	Promoter	15	85028948	85046150	17203	1	Fam118a
chr7	102335048	102335505	458	*	peak_2522	Intron	7	102268327	102435900	167574	1	Stim1
chr2	51599581	51599884	304	*	peak_1559	Distal Intergenic	2	51627511	51628408	898	1	Tas2r134
chr14	52019968	52020783	816	*	peak_870	Promoter	14	52006082	52020701	14620	2	Zfp219
chr15	79328407	79328815	409	*	peak_1014	Promoter	15	79308854	79328390	19537	2	Pla2g6
chr13	72209932	72210863	932	*	peak_776	Distal Intergenic	13	71957921	71963723	5803	2	Irx1
chr14	57701809	57702117	309	*	peak_881	Promoter	14	57697227	57699890	2664	2	Lats2
chr18	73787081	73787556	476	*	peak_1392	Intron	18	73769903	73815438	45536	2	Me2
chr9	83563847	83564477	631	*	peak_2870	Intron	9	83576831	83597524	20694	1	Sh3bgrl2
chr1	131123042	131124307	1266	*	peak_103	Distal Intergenic	1	131129875	131138245	8371	2	Dyrk3
chr10	120411911	120412504	594	*	peak_351	Intron	10	120389523	120392793	3271	1	9230105E05Rik
chr14	75753242	75753473	232	*	peak_917	Promoter	14	75702370	75754558	52189	2	Cog3
chr1	37300732	37300976	245	*	peak_20	Promoter	1	37300308	37408733	108426	1	Inpp4a
chr7	83196035	83197379	1345	*	peak_2502	Intron	7	83148644	83155922	7279	1	A530021J07Rik
chr11	120903108	120903615	508	*	peak_589	Exon	11	120873792	120885911	12120	2	Ccdc57
chr14	101904615	101905312	698	*	peak_938	Intron	14	101919077	101930760	11684	1	Lmo7
chr9	14379795	14380511	717	*	peak_2777	Promoter	9	14379503	14380983	1481	2	Endod1
chr3	84154576	84155037	462	*	peak_1762	Promoter	3	84087933	84155786	67854	2	Mnd1
chr7	144052100	144052393	294	*	peak_2595	Exon	7	144031264	144396431	365168	1	Shank2
chr7	25395445	25396053	609	*	peak_2446	Promoter	7	25395414	25566417	171004	1	4732471J01Rik
chr8	84770578	84770975	398	*	peak_2686	Promoter	8	84704712	84773396	68685	2	Nfix
chr18	39584503	39585585	1083	*	peak_1345	Distal Intergenic	18	39487128	39519421	32294	2	Nr3c1
chr9	45133415	45133718	304	*	peak_2815	Promoter	9	45110132	45134832	24701	2	Gm10684
chr14	69103495	69103914	420	*	peak_911	Distal Intergenic	14	69171802	69175518	3717	1	Nkx2-6
chr12	70618449	70618729	281	*	peak_631	Distal Intergenic	12	70459841	70460576	736	1	Tmx1
chr11	101094430	101095292	863	*	peak_526	Promoter	11	101092487	101095376	2890	2	Psmc3ip
chr6	12772810	12773057	248	*	peak_2262	Distal Intergenic	6	12317087	12749410	432324	2	Thsd7a
chr11	20553010	20553852	843	*	peak_395	Intron	11	20543334	20653021	109688	1	Sertad2
chr2	143924204	143924595	392	*	peak_1668	Intron	2	143915320	143943324	28005	1	Dstn
chr3	145798838	145799119	282	*	peak_1848	Intron	3	145810479	145889295	78817	1	Ddah1
chr17	35744152	35744431	280	*	peak_1237	Intron	17	35772450	35780687	8238	1	4833427F10Rik
chr8	40991687	40992006	320	*	peak_2644	3' UTR	8	40998770	41000205	1436	2	Mtus1
chr10	82623268	82623604	337	*	peak_295	Promoter	10	82619942	82623228	3287	2	1190007I07Rik
chr4	6914293	6914553	261	*	peak_1859	Intron	4	6820694	6990483	169790	2	Tox
chr16	21201979	21204374	2396	*	peak_1096	Promoter	16	21204755	21223304	18550	1	Ephb3
chr10	44607527	44607793	267	*	peak_250	Intron	10	44446717	44528501	81785	2	Prdm1
chr1	66862336	66863020	685	*	peak_48	Promoter	1	66830839	66863277	32439	2	Acadl
chr17	33828788	33829128	341	*	peak_1233	Promoter	17	33829124	33838309	9186	1	Ndufa7
chr8	88580727	88580999	273	*	peak_2696	Promoter	8	88582805	88592337	9533	1	Nkd1
chr11	120240296	120241547	1252	*	peak_585	Intron	11	120236699	120292282	55584	1	Bahcc1
chr19	27316745	27317658	914	*	peak_1451	Distal Intergenic	19	27322588	27337179	14592	1	Kcnv2
chr3	84310904	84311180	277	*	peak_1766	Distal Intergenic	3	84192211	84305446	113236	2	Trim2
chr2	102755614	102755821	208	*	peak_1625	Promoter	2	102755907	102777584	21678	1	Slc1a2
chr4	123343421	123343656	236	*	peak_1971	Promoter	4	123312645	123343252	30608	2	Bmp8a
chr5	96964374	96964652	279	*	peak_2153	Distal Intergenic	5	96997689	97069649	71961	1	Bmp2k
chr11	5499389	5499915	527	*	peak_383	Intron	11	5520659	5525893	5235	1	Xbp1
chr2	68932175	68932885	711	*	peak_1582	Intron	2	68947260	69050972	103713	1	Cers6
chr17	27907189	27907703	515	*	peak_1222	Promoter	17	27901128	27907724	6597	2	Taf11
chr6	54034619	54034859	241	*	peak_2310	Distal Intergenic	6	54039554	54067798	28245	1	Chn2
chr11	97797412	97797670	259	*	peak_506	Promoter	11	97799000	97806839	7840	1	Lasp1
chr3	88451233	88451446	214	*	peak_1774	Promoter	3	88449686	88451450	1765	2	Sema4a
chr18	44623386	44624137	752	*	peak_1353	Intron	18	44661665	44676271	14607	1	A930012L18Rik
chr1	165840789	165841115	327	*	peak_157	Intron	1	165858216	165861555	3340	1	Cd247
chr8	34145944	34146503	560	*	peak_2637	Promoter	8	34135572	34147033	11462	2	Leprotl1
chr6	127311340	127312107	768	*	peak_2392	Distal Intergenic	6	127296186	127307967	11782	2	Gm38404
chr16	97620398	97620644	247	*	peak_1185	Distal Intergenic	16	97564682	97611195	46514	2	Tmprss2
chr18	62155939	62156251	313	*	peak_1378	Distal Intergenic	18	62177816	62179959	2144	2	Adrb2
chr2	5615026	5615529	504	*	peak_1512	Intron	2	5298887	5676046	377160	2	Camk1d
chr18	36507875	36508482	608	*	peak_1336	Intron	18	36512570	36515367	2798	2	Hbegf
chr16	91255804	91256070	267	*	peak_1164	Distal Intergenic	16	91269772	91271933	2162	1	Olig1
chr17	87566729	87567101	373	*	peak_1298	Intron	17	87635979	87639964	3986	1	Epcam
chr1	178528204	178528480	277	*	peak_177	Promoter	1	178529125	178716500	187376	1	Kif26b
chr9	107575509	107575962	454	*	peak_2901	Promoter	9	107576927	107581710	4784	1	Hyal1
chr14	58663219	58663529	311	*	peak_885	Distal Intergenic	14	59133040	59142893	9854	2	1700129C05Rik
chr14	54254077	54254613	537	*	peak_873	Promoter	14	54254188	54269075	14888	1	Abhd4
chr3	121411358	121411636	279	*	peak_1816	Distal Intergenic	3	121426497	121458207	31711	1	Cnn3
chr7	144973262	144973881	620	*	peak_2598	Distal Intergenic	7	144933198	144939925	6728	2	Ccnd1
chr7	111082088	111082401	314	*	peak_2527	Promoter	7	111079338	111082195	2858	2	Eif4g2
chr19	36796595	36797342	748	*	peak_1458	Distal Intergenic	19	36834232	36893477	59246	1	Tnks2
chr6	18359699	18360496	798	*	peak_2267	Distal Intergenic	6	18389145	18408694	19550	2	Cttnbp2
chr5	92204209	92204518	310	*	peak_2147	Distal Intergenic	5	92210114	92212350	2237	2	U90926
chr12	57572652	57573018	367	*	peak_624	Intron	12	57575817	57737928	162112	1	Ttc6
chr10	111572608	111573104	497	*	peak_328	Distal Intergenic	10	111586719	111594273	7555	2	4933440J02Rik
chr16	92645057	92645465	409	*	peak_1168	Intron	16	92686758	92695495	8738	2	Runx1
chr5	63755132	63755483	352	*	peak_2103	Intron	5	63800462	63810546	10085	1	Nwd2
chr11	53450409	53450819	411	*	peak_423	Distal Intergenic	11	53457205	53467766	10562	1	Shroom1
chr7	111082461	111082666	206	*	peak_2528	Promoter	7	111080419	111082827	2409	2	Eif4g2
chr12	79103858	79104190	333	*	peak_639	Promoter	12	79088705	79103939	15235	2	9230116L04Rik
chr1	87779212	87779482	271	*	peak_74	Promoter	1	87778458	87788562	10105	1	Atg16l1
chr4	85204537	85205027	491	*	peak_1930	Promoter	4	85205126	85399529	194404	1	Sh3gl2
chr5	125174647	125175657	1011	*	peak_2210	Intron	5	125017162	125179053	161892	2	Ncor2
chr15	102044657	102045720	1064	*	peak_1069	Distal Intergenic	15	102028180	102032027	3848	1	Krt18
chr6	94686751	94687236	486	*	peak_2357	Intron	6	94625034	94680630	55597	2	Lrig1
chr7	112788260	112788640	381	*	peak_2536	Intron	7	112759546	112842374	82829	1	Tead1
chr14	28892641	28892845	205	*	peak_846	Distal Intergenic	14	28908052	28969413	61362	2	Cacna2d3
chr15	61790016	61790685	670	*	peak_998	Distal Intergenic	15	61699282	61774451	75170	2	D030024E09Rik
chr16	38522618	38523311	694	*	peak_1132	Promoter	16	38498347	38522663	24317	2	Timmdc1
chr15	61618789	61619235	447	*	peak_997	Intron	15	61534676	61745184	210509	2	D030024E09Rik
chr8	70873567	70873790	224	*	peak_2674	Promoter	8	70868227	70873935	5709	2	Ccdc124
chr14	76733375	76733585	211	*	peak_923	Distal Intergenic	14	76760131	76762217	2087	1	4930431P22Rik
chr3	87519306	87519658	353	*	peak_1768	Distal Intergenic	3	87525407	87540156	14750	1	Etv3
chr19	10638175	10638495	321	*	peak_1433	Exon	19	10634282	10639172	4891	1	Vwce
chr1	128244468	128244846	379	*	peak_96	Promoter	1	128244162	128279378	35217	1	Ubxn4
chr5	31713200	31713645	446	*	peak_2077	Intron	5	31701845	32057671	355827	1	Babam2
chr1	162570463	162570676	214	*	peak_148	Promoter	1	162570515	162599084	28570	1	Vamp4
chr1	181273916	181274537	622	*	peak_183	Distal Intergenic	1	181173228	181212001	38774	2	Wdr26
chr9	34984053	34984446	394	*	peak_2795	Intron	9	35016452	35030876	14425	1	Kirrel3
chr2	75938452	75938827	376	*	peak_1610	Promoter	2	75935849	75938585	2737	2	Ttc30b
chr5	107015929	107016194	266	*	peak_2171	Distal Intergenic	5	106975238	106979323	4086	1	Cdc7
chr7	100370967	100371941	975	*	peak_2519	Promoter	7	100355100	100371934	16835	2	Ppme1
chr2	102826025	102826298	274	*	peak_1627	Intron	2	102761173	102781557	20385	1	Slc1a2
chr6	96587312	96588093	782	*	peak_2362	Intron	6	96164497	96166243	1747	2	1700123L14Rik
chr6	94915795	94916582	788	*	peak_2361	Distal Intergenic	6	94943834	94951545	7712	1	4930511E03Rik
chr18	46380989	46381522	534	*	peak_1355	Intron	18	46282151	46311928	29778	2	Ccdc112
chr16	31300194	31300703	510	*	peak_1117	Exon	16	31297420	31303445	6026	2	Apod
chr5	29468244	29468846	603	*	peak_2072	Distal Intergenic	5	29473034	29478470	5437	2	Mnx1
chr13	58214346	58215075	730	*	peak_762	Promoter	13	58176163	58215619	39457	2	Ubqln1
chr11	24074279	24074799	521	*	peak_402	Intron	11	24078056	24173194	95139	1	Bcl11a
chr11	7764442	7764747	306	*	peak_386	Distal Intergenic	11	7207686	7213923	6238	2	Igfbp3
chr16	25058731	25059088	358	*	peak_1105	Promoter	16	25059639	25069058	9420	1	A230028O05Rik
chr5	100626701	100627431	731	*	peak_2161	Distal Intergenic	5	100660172	100664419	4248	2	Coq2
chr14	21990904	21991705	802	*	peak_838	Promoter	14	21983959	21989601	5643	2	Zfp503
chr9	100452430	100452679	250	*	peak_2886	Distal Intergenic	9	100458530	100461735	3206	2	Il20rb
chr17	87567240	87567732	493	*	peak_1299	Intron	17	87635979	87639964	3986	1	Epcam
chr10	117292887	117293111	225	*	peak_343	Promoter	10	117287797	117292868	5072	2	Lyz1
chr2	180220407	180220864	458	*	peak_1719	Intron	2	180176373	180225859	49487	2	Lama5
chr1	134875320	134876090	771	*	peak_116	Exon	1	134759067	134846420	87354	2	Ppp1r12b
chr19	38055121	38055637	517	*	peak_1463	Promoter	19	38055089	38074421	19333	1	Cep55
chr3	130712888	130713167	280	*	peak_1823	Distal Intergenic	3	130695912	130709444	13533	2	Ostc
chr9	70863428	70863801	374	*	peak_2860	Intron	9	70820852	70934613	113762	2	Lipc
chr10	24023701	24024173	473	*	peak_224	Distal Intergenic	10	24027222	24028298	1077	1	Taar7d
chr5	21672806	21673644	839	*	peak_2062	Intron	5	21648513	21652012	3500	1	Armc10
chr7	102967446	102967646	201	*	peak_2523	3' UTR	7	102973052	102973990	939	2	Olfr577
chr11	78848866	78849357	492	*	peak_462	Distal Intergenic	11	78826629	78839275	12647	1	Lyrm9
chr15	8444968	8445509	542	*	peak_960	Promoter	15	8290617	8444463	153847	2	Nipbl
chr19	9983136	9983659	524	*	peak_1428	Promoter	19	9983115	9984685	1571	1	Fth1
chr14	118282661	118282951	291	*	peak_945	Distal Intergenic	14	118266960	118267688	729	1	Gm9376
chr18	43724792	43725060	269	*	peak_1351	Distal Intergenic	18	43728082	43737557	9476	2	Spink1
chr4	145194911	145195194	284	*	peak_2030	Promoter	4	144972622	145195005	222384	2	Vps13d
chr1	157253992	157254385	394	*	peak_144	Promoter	1	157176172	157256682	80511	2	Rasal2
chr7	100234538	100235149	612	*	peak_2518	Intron	7	100227710	100278868	51159	1	Pgm2l1
chr15	27492162	27492405	244	*	peak_968	Intron	15	27466677	27594909	128233	1	Ank
chr5	142851554	142851953	400	*	peak_2236	Distal Intergenic	5	142754789	142817662	62874	2	Tnrc18
chr1	7498822	7499889	1068	*	peak_5	Intron	1	7160557	7172659	12103	1	Pcmtd1
chr14	87141682	87142036	355	*	peak_931	Promoter	14	86965451	87141235	175785	2	Diaph3
chr10	122931145	122931441	297	*	peak_362	Intron	10	122895368	122941449	46082	1	Ppm1h
chr2	91742886	91743086	201	*	peak_1620	Intron	2	91730225	91918849	188625	1	Ambra1
chr5	135107945	135108388	444	*	peak_2221	Promoter	5	135106918	135138382	31465	1	Mlxipl
chr18	20457170	20457487	318	*	peak_1315	Intron	18	20436175	20471821	35647	1	Dsg4
chr4	44072595	44072860	266	*	peak_1882	Promoter	4	44036826	44072778	35953	2	Gne
chr2	165443009	165443458	450	*	peak_1698	Exon	2	165411884	165420293	8410	2	Slc13a3
chr11	52919700	52920048	349	*	peak_421	Intron	11	52764634	53188538	423905	1	Fstl4
chr16	16485659	16486378	720	*	peak_1088	Intron	16	16435706	16504222	68517	2	Fgd4
chr2	38524166	38524547	382	*	peak_1550	Intron	2	38514626	38560910	46285	1	Nek6
chr8	69903177	69903387	211	*	peak_2670	Promoter	8	69887788	69902712	14925	2	Yjefn3
chr9	20976727	20977036	310	*	peak_2780	Promoter	9	20962361	20976781	14421	2	S1pr2
chr5	108703825	108704203	379	*	peak_2175	Promoter	5	108705074	108705872	799	1	Fgfrl1
chr5	31254168	31254769	602	*	peak_2076	Promoter	5	31253280	31254653	1374	2	Ift172
chr15	61805397	61805747	351	*	peak_999	Distal Intergenic	15	61699282	61774451	75170	2	D030024E09Rik
chr9	57973747	57974082	336	*	peak_2838	Distal Intergenic	9	57998041	58007451	9411	1	Cyp11a1
chr1	4598409	4598766	358	*	peak_2	Distal Intergenic	1	4491390	4497354	5965	2	Sox17
chr19	15984479	15984800	322	*	peak_1437	Promoter	19	15955981	15984693	28713	2	Cep78
chr1	130524819	130525098	280	*	peak_99	Intron	1	130439027	130462744	23718	2	Cd55
chr7	25575254	25576412	1159	*	peak_2449	Distal Intergenic	7	25516042	25539857	23816	2	Ceacam2
chr4	46550519	46550923	405	*	peak_1888	Intron	4	46541316	46542802	1487	2	Coro2a
chr10	82990602	82991096	495	*	peak_297	Intron	10	82985498	83195900	210403	1	Chst11
chr10	59241188	59241464	277	*	peak_254	Distal Intergenic	10	59221953	59226434	4482	1	Sowahc
chr16	34270515	34270828	314	*	peak_1124	Intron	16	34152025	34263200	111176	2	Kalrn
chr8	124753924	124754471	548	*	peak_2749	Promoter	8	124740257	124751832	11576	2	Fam89a
chr2	154648400	154648892	493	*	peak_1684	Distal Intergenic	2	154651705	154694780	43076	1	Chmp4b
chr8	114801450	114801903	454	*	peak_2726	Intron	8	114712167	115352143	639977	1	Wwox
chr11	108923399	108924310	912	*	peak_543	Promoter	11	108923181	108949511	26331	1	Axin2
chr5	51582665	51583278	614	*	peak_2098	Distal Intergenic	5	51495780	51567726	71947	2	Ppargc1a
chr9	37214743	37214944	202	*	peak_2798	Intron	9	37208223	37224700	16478	1	Tmem218
chr19	56873740	56874244	505	*	peak_1499	Promoter	19	56874249	56912078	37830	1	Vwa2
chr1	135504845	135505119	275	*	peak_123	Intron	1	135457782	135510384	52603	2	Nav1
chr16	17618759	17619312	554	*	peak_1090	Promoter	16	17619354	17644828	25475	1	Smpd4
chr2	38066048	38066409	362	*	peak_1549	Intron	2	38021266	38166081	144816	2	Dennd1a
chr1	151096241	151096441	201	*	peak_132	Distal Intergenic	1	151138034	151142345	4312	1	C730036E19Rik
chr17	29489452	29489855	404	*	peak_1225	Promoter	17	29490753	29496112	5360	1	Pim1
chr8	72136753	72137162	410	*	peak_2675	Promoter	8	72135808	72153140	17333	1	Tpm4
chr17	27821339	27821690	352	*	peak_1219	Promoter	17	27753207	27820648	67442	2	Ilrun
chr8	3515387	3515587	201	*	peak_2599	Promoter	8	3515391	3517153	1763	1	Pnpla6
chr3	89278377	89278893	517	*	peak_1776	Promoter	3	89271740	89279641	7902	2	Efna1
chr10	77677496	77678230	735	*	peak_279	Distal Intergenic	10	77686569	77886769	200201	1	Tspear
chr14	61063923	61064246	324	*	peak_896	Intron	14	60974361	61046490	72130	2	Tnfrsf19
chr17	93588360	93588666	307	*	peak_1301	Distal Intergenic	17	93202076	93205563	3488	1	Adcyap1
chr2	91291129	91291449	321	*	peak_1615	Intron	2	91281742	91283141	1400	2	1110051M20Rik
chr8	56550709	56551126	418	*	peak_2656	Promoter	8	56531522	56550857	19336	2	Cep44
chr8	126739950	126740340	391	*	peak_2761	Distal Intergenic	8	126839233	126851473	12241	1	A630001O12Rik
chr5	99479321	99479800	480	*	peak_2156	Intron	5	99217426	99252927	35502	2	Rasgef1b
chr16	57495739	57496048	310	*	peak_1149	Intron	16	57549242	57572804	23563	1	Filip1l
chr1	134554547	134554897	351	*	peak_115	Distal Intergenic	1	134540941	134549682	8742	2	Mgat4e
chr10	120208600	120208962	363	*	peak_350	Promoter	10	120208750	120224917	16168	1	Tmbim4
chr18	33464081	33464489	409	*	peak_1325	Promoter	18	33464163	33474710	10548	1	Gm10549
