Geneid	ENSEMBL	log2FoldChange	padj	DEG
Rilpl2	ENSMUSG00000029401.8	-0.04	0.855310860001058	NS
Emg1	ENSMUSG00000004268.11	-0.04	0.855310860001058	NS
Gm21092	ENSMUSG00000095403.8	-0.06	0.855310860001058	NS
Gm46339	ENSMUSG00000113959.1	-0.15	0.855310860001058	NS
Irf9	ENSMUSG00000002325.15	0.1	0.855310860001058	NS
Dach1	ENSMUSG00000055639.16	-0.08	0.855310860001058	NS
Tmem29	ENSMUSG00000041353.12	0.07	0.855310860001058	NS
Zfp473	ENSMUSG00000048012.19	-0.05	0.855387262364206	NS
Anxa7	ENSMUSG00000021814.17	-0.03	0.855387262364206	NS
Zdhhc20	ENSMUSG00000021969.8	-0.03	0.855387262364206	NS
Atp5f1	ENSMUSG00000000563.17	0.03	0.855399193492854	NS
Tmcc1	ENSMUSG00000030126.17	0.09	0.855399193492854	NS
Zfand6	ENSMUSG00000030629.15	-0.02	0.855399193492854	NS
Gm17491	ENSMUSG00000097042.2	0.06	0.855399193492854	NS
Rbm5	ENSMUSG00000032580.12	-0.03	0.855399193492854	NS
Eif1	ENSMUSG00000035530.13	0.04	0.855399193492854	NS
E030024N20Rik	ENSMUSG00000057990.4	0.06	0.855399193492854	NS
Snhg14	ENSMUSG00000100826.6	-0.06	0.855497435916334	NS
Vdac2	ENSMUSG00000021771.14	0.03	0.855518854554568	NS
Ficd	ENSMUSG00000053334.6	0.08	0.855592728972834	NS
Gm10131	ENSMUSG00000063412.4	0.06	0.855592728972834	NS
Card14	ENSMUSG00000013483.14	0.09	0.855592728972834	NS
Pfkm	ENSMUSG00000033065.14	-0.07	0.855592728972834	NS
Ighg1	ENSMUSG00000076614.7	-0.06	0.856123923603393	NS
Kdelr1	ENSMUSG00000002778.14	-0.03	0.856231952514202	NS
Tipin	ENSMUSG00000032397.7	-0.07	0.856361162632606	NS
C1galt1	ENSMUSG00000042460.5	0.04	0.856431463340602	NS
Plxna2	ENSMUSG00000026640.12	-0.1	0.856462266203755	NS
Adar	ENSMUSG00000027951.16	-0.03	0.856462266203755	NS
Gm48086	ENSMUSG00000112229.1	-0.06	0.856462266203755	NS
Chac2	ENSMUSG00000020309.6	0.08	0.856462266203755	NS
Tsc22d1	ENSMUSG00000022010.19	-0.02	0.856462266203755	NS
Pdlim5	ENSMUSG00000028273.15	-0.04	0.856495292609954	NS
H3f3a	ENSMUSG00000060743.12	-0.04	0.856510329395223	NS
Bicd2	ENSMUSG00000037933.16	0.08	0.856510329395223	NS
Dhx35	ENSMUSG00000027655.14	-0.07	0.856557286447362	NS
Tnip2	ENSMUSG00000059866.13	0.08	0.856557286447362	NS
Ech1	ENSMUSG00000053898.12	-0.02	0.856557286447362	NS
Gm45555	ENSMUSG00000109652.1	-0.06	0.856557286447362	NS
Gm4900	ENSMUSG00000113651.1	0.04	0.856557286447362	NS
Bub3	ENSMUSG00000066979.6	-0.03	0.856615645535238	NS
Apeh	ENSMUSG00000032590.14	-0.03	0.856735784406643	NS
Dera	ENSMUSG00000030225.11	-0.03	0.856738340063794	NS
Sdhb	ENSMUSG00000009863.14	-0.03	0.85676059121334	NS
Gm12454	ENSMUSG00000087142.7	-0.07	0.856776961121748	NS
Ccdc28a	ENSMUSG00000059554.12	0.07	0.856820022462892	NS
Selenof	ENSMUSG00000037072.15	-0.03	0.856885674685121	NS
Rraga	ENSMUSG00000070934.6	0.03	0.85692469961949	NS
Hes1	ENSMUSG00000022528.8	-0.04	0.85692469961949	NS
Osbpl6	ENSMUSG00000042359.18	-0.04	0.857226299949239	NS
Klf13	ENSMUSG00000052040.10	0.03	0.857417998129428	NS
Pla2g4c	ENSMUSG00000033847.15	0.03	0.857439788821371	NS
Zcchc2	ENSMUSG00000038866.15	0.07	0.857512862655196	NS
Mfap1b	ENSMUSG00000048222.3	0.08	0.857512862655196	NS
Hrc	ENSMUSG00000038239.11	-0.06	0.857512862655196	NS
Zfp943	ENSMUSG00000053347.15	0.08	0.857512862655196	NS
Nrep	ENSMUSG00000042834.15	0.06	0.857512862655196	NS
Pramef8	ENSMUSG00000046862.14	0.09	0.857640601810533	NS
Lmbr1l	ENSMUSG00000022999.15	0.04	0.85773144769332	NS
Spcs2	ENSMUSG00000035227.7	0.03	0.857797614277605	NS
Wdr26	ENSMUSG00000038733.14	0.07	0.857803282621322	NS
Rnf8	ENSMUSG00000090083.11	-0.08	0.857803282621322	NS
Raly	ENSMUSG00000027593.15	-0.04	0.857851825914031	NS
Per3	ENSMUSG00000028957.12	-0.11	0.857851825914031	NS
Agbl1	ENSMUSG00000025754.11	0.17	0.857851825914031	NS
Map2k3	ENSMUSG00000018932.9	-0.03	0.857851825914031	NS
Atp6v1a	ENSMUSG00000052459.13	-0.04	0.857851825914031	NS
Psip1	ENSMUSG00000028484.16	-0.07	0.858047616544029	NS
Ddx47	ENSMUSG00000030204.10	-0.03	0.858047616544029	NS
Mrpl40	ENSMUSG00000022706.16	0.03	0.858047616544029	NS
Gm8483	ENSMUSG00000114737.1	0.07	0.858080741049377	NS
AW011738	ENSMUSG00000078349.2	0.06	0.858193220668315	NS
Rab4b	ENSMUSG00000053291.15	-0.07	0.858438373729493	NS
Prox1	ENSMUSG00000010175.13	-0.1	0.858480775104399	NS
Pik3r2	ENSMUSG00000031834.15	-0.02	0.858480775104399	NS
Vil1	ENSMUSG00000026175.12	0.03	0.858495696439628	NS
Slc2a2	ENSMUSG00000027690.13	0.02	0.858495696439628	NS
Tmem54	ENSMUSG00000028786.15	-0.03	0.858495696439628	NS
Glt1d1	ENSMUSG00000049971.17	0.07	0.858495696439628	NS
Poldip2	ENSMUSG00000001100.10	-0.02	0.858495696439628	NS
Parp4	ENSMUSG00000054509.7	-0.07	0.858495696439628	NS
Psmg3	ENSMUSG00000029551.13	0.07	0.858668667075039	NS
Sox6	ENSMUSG00000051910.13	0.07	0.858668667075039	NS
E030022I16Rik	ENSMUSG00000111264.1	-0.19	0.858668667075039	NS
Nmd3	ENSMUSG00000027787.14	-0.03	0.85874240057938	NS
Abcb6	ENSMUSG00000026198.15	0.06	0.858749578958696	NS
Gstm7	ENSMUSG00000004035.12	-0.07	0.858749578958696	NS
AI987944	ENSMUSG00000056383.10	-0.07	0.858749578958696	NS
Homer2	ENSMUSG00000025813.14	0.07	0.858750877683565	NS
Papss2	ENSMUSG00000024899.7	-0.03	0.858750877683565	NS
Ran	ENSMUSG00000029430.13	-0.03	0.859127149105714	NS
Eif4a3	ENSMUSG00000025580.15	-0.03	0.859127149105714	NS
Klhl7	ENSMUSG00000028986.12	-0.08	0.859355046858099	NS
Gtf2h1	ENSMUSG00000006599.13	-0.03	0.859355046858099	NS
Chchd1	ENSMUSG00000063787.4	0.04	0.859545299488359	NS
Tgfbrap1	ENSMUSG00000070939.9	-0.07	0.859766685339137	NS
Mri1	ENSMUSG00000004996.9	-0.04	0.859766685339137	NS
Camk2d	ENSMUSG00000053819.16	0.02	0.860092096651554	NS
Ube2j1	ENSMUSG00000028277.13	-0.03	0.860092096651554	NS
Fam160b1	ENSMUSG00000033478.5	-0.07	0.860115695739799	NS
Hdac11	ENSMUSG00000034245.10	0.04	0.860163918536358	NS
2310030G06Rik	ENSMUSG00000032062.2	0.04	0.860163918536358	NS
3830406C13Rik	ENSMUSG00000033111.16	-0.07	0.860163918536358	NS
Atp6ap2	ENSMUSG00000031007.2	-0.03	0.860163918536358	NS
Zmiz1	ENSMUSG00000007817.15	-0.03	0.860175165353326	NS
Thtpa	ENSMUSG00000045691.14	0.08	0.860409658522595	NS
Slc8a3	ENSMUSG00000079055.10	0.23	0.860679212638699	NS
Slc20a1	ENSMUSG00000027397.14	0.08	0.860969904404931	NS
Snrpb2	ENSMUSG00000008333.12	0.07	0.861038896608509	NS
E230020D15Rik	ENSMUSG00000108912.1	-0.05	0.861038896608509	NS
Gm4130	ENSMUSG00000114579.1	0.06	0.861109078514918	NS
Rnf166	ENSMUSG00000014470.4	0.07	0.861236797428396	NS
Fbxo45	ENSMUSG00000035764.5	0.06	0.861355842888332	NS
Gm48690	ENSMUSG00000113151.1	0.16	0.861487647113959	NS
Odf3b	ENSMUSG00000047394.8	-0.07	0.861609916393683	NS
Surf4	ENSMUSG00000014867.9	0.03	0.861692975962928	NS
Gm42664	ENSMUSG00000106099.1	-0.04	0.861692975962928	NS
Fbxo9	ENSMUSG00000001366.14	0.02	0.861692975962928	NS
Tmcc3	ENSMUSG00000020023.18	0.03	0.861692975962928	NS
Smyd4	ENSMUSG00000018809.2	0.07	0.861692975962928	NS
Gm47071	ENSMUSG00000114493.2	0.06	0.861692975962928	NS
Tspan8	ENSMUSG00000034127.15	-0.03	0.861966824659455	NS
Zcchc10	ENSMUSG00000018239.9	-0.1	0.861966824659455	NS
Stambpl1	ENSMUSG00000024776.17	-0.07	0.861966824659455	NS
Snx9	ENSMUSG00000002365.10	0.07	0.862344348326081	NS
Fam110b	ENSMUSG00000049119.14	0.07	0.862388188831006	NS
Cdc40	ENSMUSG00000038446.8	0.07	0.862388188831006	NS
Coil	ENSMUSG00000033983.13	-0.08	0.862388188831006	NS
Tfg	ENSMUSG00000022757.19	-0.03	0.862388188831006	NS
Gfer	ENSMUSG00000040888.10	0.04	0.862400536978664	NS
Nxt2	ENSMUSG00000042271.13	0.03	0.862400536978664	NS
Ttc39b	ENSMUSG00000038172.14	-0.07	0.862573358098157	NS
Ptcd1	ENSMUSG00000029624.10	-0.07	0.862573358098157	NS
Cd22	ENSMUSG00000030577.14	-0.06	0.862573358098157	NS
Maats1	ENSMUSG00000022805.17	0.2	0.862573358098157	NS
Ankrd22	ENSMUSG00000024774.16	0.06	0.862573358098157	NS
Mindy2	ENSMUSG00000042444.10	0.08	0.862644263798293	NS
Maoa	ENSMUSG00000025037.6	0.03	0.862644263798293	NS
Clcn5	ENSMUSG00000004317.14	0.06	0.862752425661587	NS
Phospho2	ENSMUSG00000027088.10	0.03	0.862799250882941	NS
Gm10425	ENSMUSG00000097081.1	-0.07	0.862799250882941	NS
Macc1	ENSMUSG00000041886.7	-0.06	0.862799250882941	NS
Taf8	ENSMUSG00000023980.7	-0.07	0.862799250882941	NS
Wdr74	ENSMUSG00000042729.11	-0.04	0.862799250882941	NS
Col4a3	ENSMUSG00000079465.8	0.17	0.862809413112209	NS
Sike1	ENSMUSG00000027854.12	0.03	0.862809413112209	NS
Abca4	ENSMUSG00000028125.14	0.22	0.862809413112209	NS
Tmem170	ENSMUSG00000031953.2	-0.07	0.862809413112209	NS
Rad51c	ENSMUSG00000007646.13	0.05	0.862809413112209	NS
Mroh6	ENSMUSG00000098678.1	-0.21	0.862809413112209	NS
Bach1	ENSMUSG00000025612.5	0.04	0.862809413112209	NS
Armh3	ENSMUSG00000039901.10	-0.04	0.862831992980994	NS
Mapkapk2	ENSMUSG00000016528.10	-0.07	0.862881513564126	NS
Map2k4	ENSMUSG00000033352.11	-0.07	0.862906690251546	NS
Prkag1	ENSMUSG00000067713.7	0.04	0.862980364109395	NS
Gm38190	ENSMUSG00000102302.1	-0.06	0.863191161405335	NS
Zfp821	ENSMUSG00000031728.10	-0.06	0.863191161405335	NS
Txnrd1	ENSMUSG00000020250.10	0.03	0.863191161405335	NS
Gm37233	ENSMUSG00000102336.1	-0.07	0.863318948191595	NS
Gns	ENSMUSG00000034707.7	-0.11	0.863318948191595	NS
Fmo4	ENSMUSG00000026692.12	-0.1	0.863470454302401	NS
Acp6	ENSMUSG00000028093.15	-0.03	0.863470454302401	NS
Itga3	ENSMUSG00000001507.16	-0.03	0.863470454302401	NS
Prr15l	ENSMUSG00000047040.9	0.03	0.863470454302401	NS
Foxn3	ENSMUSG00000033713.12	-0.04	0.863470454302401	NS
Gm8444	ENSMUSG00000069439.3	0.21	0.863470454302401	NS
Enoph1	ENSMUSG00000029326.13	-0.03	0.863678529952572	NS
Tamm41	ENSMUSG00000030316.13	-0.06	0.863678529952572	NS
Dnajb9	ENSMUSG00000014905.4	0.02	0.864066992865201	NS
Calr-ps	ENSMUSG00000081731.1	0.19	0.864213802137621	NS
Gm31363	ENSMUSG00000105105.1	0.06	0.864213802137621	NS
Serinc1	ENSMUSG00000019877.10	-0.04	0.864213802137621	NS
Slc25a33	ENSMUSG00000028982.9	-0.06	0.864288222718858	NS
Mrpl34	ENSMUSG00000034880.7	0.03	0.864288222718858	NS
Cyb5d2	ENSMUSG00000057778.14	0.07	0.864288222718858	NS
Spag9	ENSMUSG00000020859.16	0.07	0.864288222718858	NS
Cul9	ENSMUSG00000040327.16	-0.07	0.864288222718858	NS
Rcc1l	ENSMUSG00000061979.8	-0.07	0.864315167725374	NS
Rps27rt	ENSMUSG00000050621.7	-0.06	0.864315167725374	NS
Pfdn2	ENSMUSG00000006412.10	0.03	0.864383644657844	NS
N4bp2l2	ENSMUSG00000029655.17	-0.04	0.864383644657844	NS
Slc39a4	ENSMUSG00000063354.7	-0.03	0.864383644657844	NS
Rabl3	ENSMUSG00000022827.14	-0.07	0.864383644657844	NS
Sh3rf2	ENSMUSG00000057719.11	-0.07	0.864485920566059	NS
4933439K11Rik	ENSMUSG00000085184.9	0.05	0.865009970973591	NS
Fbxw9	ENSMUSG00000008167.14	0.07	0.865096148608002	NS
Plag1	ENSMUSG00000003282.9	0.06	0.865106985727632	NS
Rwdd1	ENSMUSG00000019782.10	-0.1	0.865106985727632	NS
Zwint	ENSMUSG00000019923.14	-0.03	0.865106985727632	NS
Gm11518	ENSMUSG00000081604.5	0.06	0.865106985727632	NS
Hunk	ENSMUSG00000053414.8	0.11	0.865106985727632	NS
Lypla1	ENSMUSG00000025903.14	-0.01	0.865114844006494	NS
Nqo1	ENSMUSG00000003849.8	0.03	0.865255144726066	NS
6330408M09Rik	ENSMUSG00000116733.1	0.04	0.865603073079461	NS
Rab26	ENSMUSG00000079657.10	-0.06	0.865603073079461	NS
Tm4sf20	ENSMUSG00000026149.2	0.01	0.865796210333393	NS
Lcmt2	ENSMUSG00000074890.4	-0.07	0.865796210333393	NS
Rtf2	ENSMUSG00000027502.11	-0.03	0.865796210333393	NS
Trim33	ENSMUSG00000033014.12	-0.07	0.865796210333393	NS
Mycbp	ENSMUSG00000028647.13	-0.03	0.865796210333393	NS
Pitpnb	ENSMUSG00000050017.11	0.03	0.865796210333393	NS
Bid	ENSMUSG00000004446.12	0.06	0.865796210333393	NS
Snhg5	ENSMUSG00000097195.9	-0.07	0.865796210333393	NS
Zfp410	ENSMUSG00000042472.11	-0.03	0.865796210333393	NS
Tmem110	ENSMUSG00000006526.13	-0.07	0.865796210333393	NS
Entpd8	ENSMUSG00000036813.11	-0.03	0.865889705529117	NS
Rnaseh2b	ENSMUSG00000021932.13	-0.06	0.865889705529117	NS
Abca3	ENSMUSG00000024130.16	0.03	0.865889705529117	NS
Cyp4f14	ENSMUSG00000024292.15	-0.02	0.865895971298308	NS
AC091309.2	ENSMUSG00000117431.1	-0.06	0.865958242697941	NS
Plekhb2	ENSMUSG00000026123.11	0.03	0.86597611219866	NS
Gm7536	ENSMUSG00000057036.7	0.05	0.86597611219866	NS
Phkg2	ENSMUSG00000030815.11	-0.07	0.86597611219866	NS
Fh1	ENSMUSG00000026526.14	0.01	0.866149397907552	NS
Rexo2	ENSMUSG00000032026.7	-0.04	0.866149397907552	NS
Kif2a	ENSMUSG00000021693.20	-0.07	0.86623407386216	NS
2510039O18Rik	ENSMUSG00000044496.6	0.07	0.866298559753181	NS
Rpl21	ENSMUSG00000041453.12	0.03	0.866298559753181	NS
AC161605.4	ENSMUSG00000117265.1	0.16	0.866298559753181	NS
Uqcrb	ENSMUSG00000021520.4	-0.01	0.866384192268715	NS
B4galt3	ENSMUSG00000052423.14	-0.06	0.86640213382623	NS
Erlec1	ENSMUSG00000020311.17	0.06	0.86640213382623	NS
Hif1a	ENSMUSG00000021109.13	0.02	0.86640213382623	NS
Gm10509	ENSMUSG00000073448.2	0.06	0.86640213382623	NS
Fibp	ENSMUSG00000024911.7	0.03	0.86640213382623	NS
Pfdn4	ENSMUSG00000052033.13	-0.07	0.866891640977014	NS
Fam114a2	ENSMUSG00000020523.14	-0.03	0.866891640977014	NS
Chmp6	ENSMUSG00000025371.12	0.03	0.866891640977014	NS
Grhl1	ENSMUSG00000020656.16	-0.05	0.866891640977014	NS
Usp50	ENSMUSG00000027364.14	0.06	0.86693409076933	NS
Smagp	ENSMUSG00000053559.13	-0.03	0.86709112656374	NS
Fam53c	ENSMUSG00000034300.17	-0.1	0.867205091691188	NS
Atoh8	ENSMUSG00000037621.8	0.06	0.867340706085803	NS
Glg1	ENSMUSG00000003316.14	0.03	0.867340706085803	NS
Ccdc71	ENSMUSG00000049305.6	0.03	0.867340706085803	NS
Mir6236	ENSMUSG00000098973.1	0.03	0.867340706085803	NS
Ppa1	ENSMUSG00000020089.8	-0.01	0.867340706085803	NS
Sarnp	ENSMUSG00000078427.3	-0.06	0.867340706085803	NS
Slc6a4	ENSMUSG00000020838.12	0.03	0.867340706085803	NS
D430020J02Rik	ENSMUSG00000112980.1	0.05	0.867340706085803	NS
Mtmr12	ENSMUSG00000039458.15	0.04	0.867340706085803	NS
Tcf20	ENSMUSG00000041852.15	0.01	0.867340706085803	NS
Zfp948	ENSMUSG00000067931.6	-0.09	0.867340706085803	NS
Cyp4f41-ps	ENSMUSG00000024295.9	0.06	0.867340706085803	NS
Pot1b	ENSMUSG00000024174.9	0.08	0.867340706085803	NS
Pja1	ENSMUSG00000034403.16	0.03	0.867340706085803	NS
Mid1	ENSMUSG00000035299.16	0.07	0.867340706085803	NS
Zfyve19	ENSMUSG00000068580.11	-0.03	0.867625321521012	NS
Cfap20	ENSMUSG00000031796.7	0.03	0.867625321521012	NS
Fyco1	ENSMUSG00000025241.16	-0.06	0.867625321521012	NS
Ppp2r5b	ENSMUSG00000024777.10	0.07	0.867625321521012	NS
Nbdy	ENSMUSG00000086316.8	0.07	0.867913451072883	NS
Atp6v1c1	ENSMUSG00000022295.8	0.03	0.868285774676138	NS
Gdf15	ENSMUSG00000038508.7	-0.05	0.868496417422882	NS
Ddr2	ENSMUSG00000026674.9	0.22	0.868671088731847	NS
Dennd6a	ENSMUSG00000040818.10	-0.07	0.868671088731847	NS
Slc35f6	ENSMUSG00000029175.17	-0.06	0.868848616811024	NS
Atp6v1h	ENSMUSG00000033793.12	0.03	0.868911526489512	NS
Car8	ENSMUSG00000041261.9	0.03	0.868911526489512	NS
Zfp37	ENSMUSG00000028389.12	0.06	0.868911526489512	NS
Oas2	ENSMUSG00000032690.16	0.06	0.868911526489512	NS
Krt7	ENSMUSG00000023039.17	0.01	0.868911526489512	NS
Snx5	ENSMUSG00000027423.15	0.01	0.868931230236921	NS
Edem2	ENSMUSG00000038312.10	-0.03	0.869065246344228	NS
Defa24	ENSMUSG00000064213.5	-0.03	0.869304497229788	NS
Neurl1b	ENSMUSG00000034413.14	0.07	0.869304497229788	NS
H2-Ob	ENSMUSG00000041538.16	0.07	0.869322446665291	NS
Tpt1-ps3	ENSMUSG00000084319.3	0.1	0.869452674075033	NS
Brpf1	ENSMUSG00000001632.16	0.07	0.869583489443419	NS
Bicral	ENSMUSG00000036568.7	0.07	0.869583489443419	NS
Jak2	ENSMUSG00000024789.13	-0.06	0.869583489443419	NS
Rnaseh1	ENSMUSG00000020630.9	0.06	0.869586039207182	NS
AI463229	ENSMUSG00000114828.1	-0.06	0.869587509386001	NS
Smyd5	ENSMUSG00000033706.13	-0.06	0.869587736522569	NS
Slc30a5	ENSMUSG00000021629.10	-0.1	0.869587736522569	NS
Alkbh3	ENSMUSG00000040174.14	0.06	0.869708704542923	NS
Yju2	ENSMUSG00000003208.9	0.08	0.869708704542923	NS
Slc25a20	ENSMUSG00000032602.6	-0.03	0.869818181182895	NS
4632415L05Rik	ENSMUSG00000048106.5	-0.06	0.869882711835997	NS
Prkci	ENSMUSG00000037643.14	-0.06	0.869882778476274	NS
Abcc8	ENSMUSG00000040136.10	-0.05	0.869882778476274	NS
4933421O10Rik	ENSMUSG00000085037.1	-0.05	0.87005456099801	NS
Kdm1a	ENSMUSG00000036940.15	0.06	0.870117154315834	NS
Taf10	ENSMUSG00000043866.11	0.07	0.87028024266194	NS
Ces2e	ENSMUSG00000031886.14	-0.01	0.87028024266194	NS
Amigo3	ENSMUSG00000032593.5	0.07	0.870340646725148	NS
Adal	ENSMUSG00000027259.15	0.06	0.870349254232279	NS
Arl6ip4	ENSMUSG00000029404.15	0.03	0.870349254232279	NS
E230013L22Rik	ENSMUSG00000096957.1	-0.05	0.870349254232279	NS
Tango6	ENSMUSG00000041949.6	-0.07	0.870349254232279	NS
Erc2	ENSMUSG00000040640.11	0.06	0.870349254232279	NS
Dctd	ENSMUSG00000031562.15	-0.07	0.870372361321344	NS
Gm43844	ENSMUSG00000106858.1	0.17	0.870460349198637	NS
Akap13	ENSMUSG00000066406.15	0.03	0.870460349198637	NS
Kcnj2	ENSMUSG00000041695.2	0.1	0.870634397915595	NS
N4bp2	ENSMUSG00000037795.14	-0.08	0.870641856589387	NS
Zfp458	ENSMUSG00000055480.7	0.05	0.870642703728961	NS
Babam1	ENSMUSG00000031820.9	-0.03	0.870668630814651	NS
Mppe1	ENSMUSG00000062526.4	-0.06	0.870798219315074	NS
Snx3	ENSMUSG00000019804.12	-0.01	0.870827491321291	NS
Sh3bp1	ENSMUSG00000022436.16	0.19	0.870827491321291	NS
Txndc12	ENSMUSG00000028567.8	-0.03	0.870895410559086	NS
Plxnd1	ENSMUSG00000030123.15	0.06	0.871345340124745	NS
Rbl2	ENSMUSG00000031666.15	-0.06	0.871345340124745	NS
Arfgap3	ENSMUSG00000054277.8	0.03	0.871345340124745	NS
Tet1	ENSMUSG00000047146.17	0.05	0.871456215959564	NS
Usp42	ENSMUSG00000051306.7	-0.06	0.871558721114096	NS
Phf1	ENSMUSG00000024193.8	0.06	0.871760002834233	NS
Mtx1	ENSMUSG00000064068.14	-0.1	0.871773033154162	NS
Srm	ENSMUSG00000006442.10	-0.07	0.871773033154162	NS
Med13l	ENSMUSG00000018076.12	0.03	0.871773033154162	NS
Gm45073	ENSMUSG00000109438.1	-0.06	0.871773033154162	NS
Ogdh	ENSMUSG00000020456.17	-0.03	0.871773033154162	NS
Mfsd6l	ENSMUSG00000048329.7	-0.07	0.871773033154162	NS
Dlg3	ENSMUSG00000000881.12	0.03	0.871773033154162	NS
Rps4x	ENSMUSG00000031320.9	-0.03	0.871773033154162	NS
Zfp428	ENSMUSG00000064264.14	-0.1	0.87193356053297	NS
Cebpg	ENSMUSG00000056216.9	-0.06	0.87193356053297	NS
Gm6421	ENSMUSG00000114540.1	0.05	0.87193356053297	NS
Cutal	ENSMUSG00000026870.19	0.07	0.872030408287776	NS
Mrto4	ENSMUSG00000028741.13	-0.03	0.872030408287776	NS
Snx6	ENSMUSG00000005656.9	-0.03	0.872030408287776	NS
Gm5291	ENSMUSG00000107030.1	0.23	0.872052554345042	NS
Tigd3	ENSMUSG00000044390.5	-0.05	0.872356876547301	NS
Dmap1	ENSMUSG00000009640.11	-0.06	0.872405280931051	NS
Raph1	ENSMUSG00000026014.15	-0.06	0.872556729317773	NS
Tctn1	ENSMUSG00000038593.18	-0.07	0.87261706751684	NS
Nphp1	ENSMUSG00000027378.16	-0.1	0.872623697426268	NS
Tarsl2	ENSMUSG00000030515.9	0.06	0.872623697426268	NS
Bend7	ENSMUSG00000048186.14	0.09	0.872680472919871	NS
Ogfr	ENSMUSG00000049401.10	-0.03	0.872680472919871	NS
Cyp2j9	ENSMUSG00000015224.10	-0.1	0.872680472919871	NS
Camta1	ENSMUSG00000014592.20	0.09	0.872680472919871	NS
Rnf4	ENSMUSG00000029110.13	-0.03	0.872680472919871	NS
Aoc1	ENSMUSG00000029811.14	-0.02	0.872680472919871	NS
Tada2a	ENSMUSG00000018651.14	0.07	0.872680472919871	NS
1810032O08Rik	ENSMUSG00000020812.17	-0.06	0.872680472919871	NS
Zfp952	ENSMUSG00000053390.16	-0.08	0.872680472919871	NS
Mydgf	ENSMUSG00000019579.13	0.01	0.872680472919871	NS
Mrpl45	ENSMUSG00000018882.12	0.03	0.872906750912135	NS
Pdpk1	ENSMUSG00000024122.16	-0.03	0.873012112384688	NS
Anp32a	ENSMUSG00000032249.14	-0.03	0.873191760449681	NS
Gm29666	ENSMUSG00000100967.1	0.06	0.873754715589916	NS
2700081O15Rik	ENSMUSG00000053080.10	-0.04	0.873806033894254	NS
Sucnr1	ENSMUSG00000027762.6	0.05	0.87399403481949	NS
Slc39a9	ENSMUSG00000048833.9	-0.03	0.874059172904455	NS
Cdk7	ENSMUSG00000069089.8	0.03	0.874059172904455	NS
Tcf23	ENSMUSG00000006642.3	0.06	0.874093105340349	NS
Suv39h2	ENSMUSG00000026646.16	-0.06	0.874456282689191	NS
Herc2	ENSMUSG00000030451.16	-0.06	0.874456282689191	NS
Defb1	ENSMUSG00000044748.8	0.05	0.874456282689191	NS
Gm6477	ENSMUSG00000111877.1	-0.05	0.874456282689191	NS
Jmjd1c	ENSMUSG00000037876.17	-0.03	0.874456282689191	NS
Amigo1	ENSMUSG00000050947.9	-0.07	0.874498774469489	NS
Eif2b3	ENSMUSG00000028683.14	0.06	0.874498774469489	NS
Col11a1	ENSMUSG00000027966.20	0.2	0.874607273867246	NS
Vac14	ENSMUSG00000010936.11	-0.1	0.874607273867246	NS
mt-Nd2	ENSMUSG00000064345.1	0.03	0.874849203528324	NS
Oard1	ENSMUSG00000040771.14	-0.03	0.874945594721571	NS
Slc25a5	ENSMUSG00000016319.3	-0.02	0.875113795125908	NS
Syp	ENSMUSG00000031144.15	-0.04	0.875484948968326	NS
Sec11a	ENSMUSG00000025724.12	0.01	0.875638299607878	NS
mt-Tw	ENSMUSG00000064346.1	-0.04	0.875639565875719	NS
Gm36948	ENSMUSG00000103445.1	0.2	0.875671988024829	NS
Gm16005	ENSMUSG00000082177.2	0.18	0.875671988024829	NS
Rab1b	ENSMUSG00000024870.6	-0.01	0.875671988024829	NS
Polr3k	ENSMUSG00000038628.8	-0.03	0.875784849418469	NS
Wwp1	ENSMUSG00000041058.15	0.06	0.875784849418469	NS
Gnl2	ENSMUSG00000028869.13	-0.1	0.875866565620384	NS
Rnf169	ENSMUSG00000058761.5	0.07	0.875866565620384	NS
Kidins220	ENSMUSG00000036333.11	0.03	0.875866565620384	NS
Cbll1	ENSMUSG00000020659.16	0.06	0.875866565620384	NS
Mdm2	ENSMUSG00000020184.15	0.03	0.875983524262595	NS
Mrgprf	ENSMUSG00000031070.15	0.18	0.876054489461702	NS
Magohb	ENSMUSG00000030188.12	-0.06	0.876062482926281	NS
Mypopos	ENSMUSG00000086533.2	0.18	0.876062482926281	NS
Abat	ENSMUSG00000057880.12	-0.01	0.876062482926281	NS
Nxf7	ENSMUSG00000031410.14	-0.05	0.876062482926281	NS
Nus1	ENSMUSG00000023068.16	0.06	0.876101776130903	NS
Gm14966	ENSMUSG00000079467.8	0.04	0.876101776130903	NS
Commd8	ENSMUSG00000029213.11	-0.03	0.876176250899982	NS
Pwwp2b	ENSMUSG00000060260.13	-0.07	0.876331433053179	NS
Chst4	ENSMUSG00000035930.9	0.06	0.876399862604454	NS
Mrpl28	ENSMUSG00000024181.9	0.03	0.876399862604454	NS
Notch1	ENSMUSG00000026923.15	-0.03	0.876452357156565	NS
Ikbke	ENSMUSG00000042349.13	0.06	0.87650590641924	NS
Wdr1	ENSMUSG00000005103.12	0.02	0.87650590641924	NS
Rps11	ENSMUSG00000003429.11	0.03	0.87650590641924	NS
Maml1	ENSMUSG00000050567.16	-0.06	0.87650590641924	NS
Tbca	ENSMUSG00000042043.6	-0.01	0.87650590641924	NS
Nek10	ENSMUSG00000042567.20	0.18	0.876633057569377	NS
